B,trial,sequence,prompt_index,generated_tokens,wall_time_s
32,7,23,15,96,4.042136739000171
32,7,24,16,96,4.042136739000171
32,7,25,17,96,4.042136739000171
32,7,26,18,96,4.042136739000171
32,7,27,19,96,4.042136739000171
32,7,28,20,96,4.042136739000171
32,7,29,21,96,4.042136739000171
32,7,30,22,96,4.042136739000171
32,7,31,23,96,4.042136739000171
32,8,0,24,96,4.044758582999975
32,8,1,25,96,4.044758582999975
32,8,2,26,96,4.044758582999975
32,8,3,27,96,4.044758582999975
32,8,4,28,96,4.044758582999975
32,8,5,29,96,4.044758582999975
32,8,6,30,96,4.044758582999975
32,8,7,31,96,4.044758582999975
32,8,8,32,96,4.044758582999975
32,8,9,33,96,4.044758582999975
32,8,10,34,96,4.044758582999975
32,8,11,35,96,4.044758582999975
32,8,12,36,96,4.044758582999975
32,8,13,37,96,4.044758582999975
32,8,14,38,96,4.044758582999975
32,8,15,39,96,4.044758582999975
32,8,16,40,96,4.044758582999975
32,8,17,41,96,4.044758582999975
32,8,18,42,96,4.044758582999975
32,8,19,43,96,4.044758582999975
32,8,20,44,96,4.044758582999975
32,8,21,45,96,4.044758582999975
32,8,22,46,96,4.044758582999975
32,8,23,47,96,4.044758582999975
32,8,24,48,96,4.044758582999975
32,8,25,49,96,4.044758582999975
32,8,26,50,96,4.044758582999975
32,8,27,51,96,4.044758582999975
32,8,28,52,96,4.044758582999975
32,8,29,53,96,4.044758582999975
32,8,30,54,96,4.044758582999975
32,8,31,55,96,4.044758582999975
32,9,0,56,96,4.087887280000132
32,9,1,57,96,4.087887280000132
32,9,2,58,96,4.087887280000132
32,9,3,59,96,4.087887280000132
32,9,4,60,96,4.087887280000132
32,9,5,61,96,4.087887280000132
32,9,6,62,83,4.087887280000132
32,9,7,63,96,4.087887280000132
32,9,8,64,96,4.087887280000132
32,9,9,65,96,4.087887280000132
32,9,10,66,96,4.087887280000132
32,9,11,67,96,4.087887280000132
32,9,12,68,96,4.087887280000132
32,9,13,69,96,4.087887280000132
32,9,14,70,96,4.087887280000132
32,9,15,71,96,4.087887280000132
32,9,16,72,96,4.087887280000132
32,9,17,73,96,4.087887280000132
32,9,18,74,96,4.087887280000132
32,9,19,75,96,4.087887280000132
32,9,20,76,96,4.087887280000132
32,9,21,77,96,4.087887280000132
32,9,22,78,96,4.087887280000132
32,9,23,79,96,4.087887280000132
32,9,24,80,96,4.087887280000132
32,9,25,81,96,4.087887280000132
32,9,26,82,96,4.087887280000132
32,9,27,83,96,4.087887280000132
32,9,28,84,96,4.087887280000132
32,9,29,85,96,4.087887280000132
32,9,30,86,96,4.087887280000132
32,9,31,87,96,4.087887280000132
32,10,0,88,96,4.039544909999904
32,10,1,89,96,4.039544909999904
32,10,2,90,96,4.039544909999904
32,10,3,91,96,4.039544909999904
32,10,4,92,96,4.039544909999904
32,10,5,93,96,4.039544909999904
32,10,6,94,96,4.039544909999904
32,10,7,95,96,4.039544909999904
32,10,8,96,96,4.039544909999904
32,10,9,97,96,4.039544909999904
32,10,10,98,96,4.039544909999904
32,10,11,99,96,4.039544909999904
32,10,12,0,87,4.039544909999904
32,10,13,1,96,4.039544909999904
32,10,14,2,96,4.039544909999904
32,10,15,3,96,4.039544909999904
32,10,16,4,96,4.039544909999904
32,10,17,5,96,4.039544909999904
32,10,18,6,96,4.039544909999904
32,10,19,7,96,4.039544909999904
32,10,20,8,96,4.039544909999904
32,10,21,9,96,4.039544909999904
32,10,22,10,96,4.039544909999904
32,10,23,11,96,4.039544909999904
32,10,24,12,96,4.039544909999904
32,10,25,13,96,4.039544909999904
32,10,26,14,96,4.039544909999904
32,10,27,15,96,4.039544909999904
32,10,28,16,96,4.039544909999904
32,10,29,17,96,4.039544909999904
32,10,30,18,96,4.039544909999904
32,10,31,19,96,4.039544909999904
